Not all 28 sampled sea stars were used for the study. Note the 20th individual used in this study came from a teaching collection.  ,Sea Star ID,Color,Arm Length,Acticity Level (# line crossed),Latency to Right (sec),Minimum Distance to Approach (cm),Latency to Approach,Treatment,Replicate #,Sea Star 1,Sea Star 2,Sea Star 3,Sea Star 4
,Richon_16,Orange,15,11,205,3,723,Predator Interacting,1,1,3,7,15
,Richon_1,Purple,17,1,251,10,167,Predator Noninteracting,2,1,6,9,19
,Richon_5,Purple,17,5,305,2,313,Predator Interacting,3,2,10,8,19
,Richon_12,Orange,17,2,310,5,107,Predator Noninteracting,4,2,8,12,16
,Richon_19,Red,18,10,312,6,130,Predator Noninteracting,5,2,20,13,14
,Richon_6,Red,19,8,156,5,264,Predator Interacting,6,5,2,17,19
,Richon_10,Purple,19,6,295,4,266,Predator Interacting,7,6,8,13,11
,Richon_13,Purple,19,4,813,7,214,Predator Noninteracting,8,7,3,9,15
,Richon_8,Orange,20,5,241,1,203,Predator Interacting,9,8,9,12,15
,Richon_3,Orange,21,5,426,8,314,Predator Noninteracting,10,10,7,9,18
,Richon_7,Purple,21,10,199,3,241,Predator Noninteracting,1,11,3,4,14
,Richon_14,Purple,23,7,746,3,453,Predator Interacting,2,12,8,18,16
,Richon_15,Red,25,8,367,0,689,Predator Interacting,3,14,11,4,18
,Richon_4,Orange,26,4,222,2,266,Predator Interacting,4,15,7,1,10
,Richon_2,Orange,27,2,287,6,206,Predator Noninteracting,5,17,12,10,5
,Richon_11,Purple,27,6,132,2,315,Predator Noninteracting,6,19,4,17,13
,Richon_9,Orange,28,3,278,0,214,Predator Noninteracting,7,19,3,8,13
,Richon_17,Orange,28,5,240,0,523,Predator Interacting,8,20,5,2,17
,Lab_20,Orange,29,8,645,6,465,Predator Noninteracting,9,20,3,1,12
,Richon_18,Purple,31,6,454,0,255,,,,,,
